domain_id,domain_title,domain_type,area_id,area_title,element_id,element_title,kind,level_ceiling,attainable_levels,status
CM-01,Foundations of Measurement Science,core,CM-01-A03,"Scales, Quantities and Quantity Calculus",CM-01-023,Quantities of dimension one and their pitfalls,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A04,"Error, Uncertainty and the Measurement Result",CM-01-024,Error and uncertainty: the conceptual break between them,knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A04,"Error, Uncertainty and the Measurement Result",CM-01-025,Random and systematic effects,knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A04,"Error, Uncertainty and the Measurement Result",CM-01-026,"Bias, correction, and the uncertainty of the correction",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A04,"Error, Uncertainty and the Measurement Result",CM-01-027,"True value, conventional value, and what the uncertainty approach abandons",knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A04,"Error, Uncertainty and the Measurement Result",CM-01-028,"Accuracy, trueness and precision",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A04,"Error, Uncertainty and the Measurement Result",CM-01-029,"Repeatability, intermediate precision and reproducibility conditions",knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A04,"Error, Uncertainty and the Measurement Result",CM-01-030,"Resolution, discrimination threshold and dead band",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A04,"Error, Uncertainty and the Measurement Result",CM-01-031,Metrological compatibility of measurement results,judgment,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A04,"Error, Uncertainty and the Measurement Result",CM-01-032,Reading a result someone else produced and knowing what it asserts,judgment,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A05,History and Philosophy of Metrology,CM-01-033,Origins of standardised measurement in trade and law,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A05,History and Philosophy of Metrology,CM-01-034,The Metre Convention and the founding of international metrology,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A05,History and Philosophy of Metrology,CM-01-035,From artefact standards to constant-based definitions,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A05,History and Philosophy of Metrology,CM-01-036,"Measurement as a social contract: trust, trade and enforcement",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A05,History and Philosophy of Metrology,CM-01-037,"What a measurement claims: realism, operationalism and representation",knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A05,History and Philosophy of Metrology,CM-01-038,Historical measurement disputes and what they cost,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A06,The Global Metrology Infrastructure,CM-01-039,"BIPM, CGPM, CIPM and the Consultative Committees",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A06,The Global Metrology Infrastructure,CM-01-040,National Metrology Institutes and Designated Institutes,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A06,The Global Metrology Infrastructure,CM-01-041,Regional Metrology Organizations,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A06,The Global Metrology Infrastructure,CM-01-042,OIML and the legal metrology infrastructure,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A06,The Global Metrology Infrastructure,CM-01-043,"Accreditation bodies, ILAC and IAF",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A06,The Global Metrology Infrastructure,CM-01-044,Standards development organizations and how a standard is made,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A06,The Global Metrology Infrastructure,CM-01-045,Professional bodies and the metrology community,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A06,The Global Metrology Infrastructure,CM-01-046,How a measurement on a factory floor connects to the SI,knowledge,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-001,Purpose and structure of the VIM,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-002,Concept systems and why definitions are ordered as they are,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-003,Core VIM terms for quantities and units,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-004,Core VIM terms for measurement and its results,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-005,Core VIM terms for measuring instruments and their properties,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-006,Core VIM terms for measurement standards and traceability,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-007,Terms commonly misused in laboratory practice,knowledge,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-008,Deprecated terminology still found in circulation,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-009,Reconciling VIM3 with sector-specific vocabularies,judgment,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A01,VIM Concepts and Terminological Discipline,CM-02-010,Translation and terminology across languages and jurisdictions,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A02,Structure of the SI,CM-02-011,Base quantities and base units,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A02,Structure of the SI,CM-02-012,Derived quantities and coherent derived units,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A02,Structure of the SI,CM-02-013,Coherence and why it matters computationally,knowledge,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A02,Structure of the SI,CM-02-014,SI prefixes and their correct application,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A02,Structure of the SI,CM-02-015,Units outside the SI accepted for use with it,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A02,Structure of the SI,CM-02-016,Special names and units with the same dimension,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A02,Structure of the SI,CM-02-017,The mole and quantities of amount of substance,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A02,Structure of the SI,CM-02-018,Photometric units and the human observer in the SI,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A03,The 2019 Redefinition and the Defining Constants,CM-02-019,The seven defining constants,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A03,The 2019 Redefinition and the Defining Constants,CM-02-020,Why the kilogram artefact was abandoned,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A03,The 2019 Redefinition and the Defining Constants,CM-02-021,Realisation of the kilogram: Kibble balance and X-ray crystal density,knowledge,5,1 2 3 4 5,draft
CM-02,Terminology and the International System of Units,core,CM-02-A03,The 2019 Redefinition and the Defining Constants,CM-02-022,Realisation of the ampere from the elementary charge,knowledge,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A03,The 2019 Redefinition and the Defining Constants,CM-02-023,Realisation of the kelvin from the Boltzmann constant,knowledge,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A03,The 2019 Redefinition and the Defining Constants,CM-02-024,Mise en pratique documents and their status,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A03,The 2019 Redefinition and the Defining Constants,CM-02-025,Practical consequences of the redefinition for working laboratories,knowledge,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A03,The 2019 Redefinition and the Defining Constants,CM-02-026,Continuity of dissemination across the redefinition,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A04,"Expression, Style and Notation",CM-02-027,Writing unit symbols and names correctly,skill,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A04,"Expression, Style and Notation",CM-02-028,"Number formatting, decimal markers and digit grouping",skill,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A04,"Expression, Style and Notation",CM-02-029,Significant figures and rounding conventions,skill,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A04,"Expression, Style and Notation",CM-02-030,Expressing quantity values with uncertainty,skill,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A04,"Expression, Style and Notation",CM-02-031,"Quantity symbols, subscripts and typographic conventions",knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A04,"Expression, Style and Notation",CM-02-032,"Expressing ratios, percentages and parts-per notations",skill,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A04,"Expression, Style and Notation",CM-02-033,"Logarithmic quantities: decibel, neper and reference levels",knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A04,"Expression, Style and Notation",CM-02-034,Common style errors found on calibration certificates,skill,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A05,Dimensional Analysis and Unit Conversion,CM-02-035,Dimensional analysis as a verification technique,skill,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A05,Dimensional Analysis and Unit Conversion,CM-02-036,Unit conversion and exact versus approximate conversion factors,skill,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A05,Dimensional Analysis and Unit Conversion,CM-02-037,Uncertainty propagation through unit conversion,skill,4,1 2 3 4,draft
CM-02,Terminology and the International System of Units,core,CM-02-A05,Dimensional Analysis and Unit Conversion,CM-02-038,Temperature scales and the difference between interval and point conversion,skill,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A05,Dimensional Analysis and Unit Conversion,CM-02-039,"Gauge, absolute and differential quantities",skill,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A05,Dimensional Analysis and Unit Conversion,CM-02-040,Conversion errors that have caused documented failures,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A06,"Legacy, Customary and Sector Unit Systems",CM-02-041,US customary and imperial systems,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A06,"Legacy, Customary and Sector Unit Systems",CM-02-042,CGS systems and where they persist,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A06,"Legacy, Customary and Sector Unit Systems",CM-02-043,"Sector-specific units in pressure, vacuum and flow",knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A06,"Legacy, Customary and Sector Unit Systems",CM-02-044,Sector-specific units in radiation and dosimetry,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A06,"Legacy, Customary and Sector Unit Systems",CM-02-045,Units in clinical and laboratory medicine,knowledge,3,1 2 3,draft
CM-02,Terminology and the International System of Units,core,CM-02-A06,"Legacy, Customary and Sector Unit Systems",CM-02-046,Managing mixed-unit environments without error,judgment,3,1 2 3,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-001,Scope and intent of the GUM,knowledge,3,1 2 3,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-002,The uncertainty approach contrasted with the error approach,knowledge,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-003,Standard uncertainty as a standard deviation,knowledge,3,1 2 3,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-004,Type A and Type B: what the distinction does and does not mean,knowledge,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-005,Coverage probability and level of confidence,knowledge,3,1 2 3,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-006,Assumptions underlying the GUM framework,knowledge,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-007,The GUM family of documents and their relationship,knowledge,3,1 2 3,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-008,Accreditation and regulatory expectations for uncertainty,knowledge,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-009,Known criticisms and limitations of the GUM,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A01,Foundations of the GUM Framework,CM-03-010,When a full uncertainty evaluation is not required,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-011,Constructing the measurement model,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-012,Identifying input quantities systematically,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-013,Defining the measurand precisely enough to model it,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-014,Definitional uncertainty within the model,knowledge,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-015,Choosing model granularity,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-016,Representing corrections and their uncertainties in the model,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-017,Modelling influence quantities,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-018,Cause-and-effect analysis for uncertainty sources,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-019,Completeness: finding the sources you have missed,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-020,Validating a measurement model against reality,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-021,Nonlinear models and when linearisation fails,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A02,Modelling the Measurement,CM-03-022,"Implicit, staged and chained measurement models",judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-023,Arithmetic mean and experimental standard deviation,skill,3,1 2 3,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-024,Experimental standard deviation of the mean,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-025,Degrees of freedom in Type A evaluation,knowledge,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-026,Pooled estimates of variance,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-027,Analysis of variance for separating uncertainty components,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-028,Type A evaluation from designed experiments,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-029,Sample size and the reliability of a Type A estimate,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-030,Serial correlation and non-independent observations,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-031,Estimating covariance from observed data,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A03,Type A Evaluation,CM-03-032,What to do when repeated observation is impossible,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-033,Sources of Type B information and their reliability,knowledge,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-034,Using a calibration certificate as a Type B input,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-035,Using manufacturer specifications as a Type B input,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-036,Assigning a rectangular distribution,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-037,Assigning a triangular distribution,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-038,Assigning a normal distribution from a stated confidence,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-039,Assigning a U-shaped or arcsine distribution,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-040,Choosing between distributions and defending the choice,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-041,Resolution and quantisation contributions,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-042,Drift and stability contributions between calibrations,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-043,Environmental effects as Type B contributions,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-044,Operator and procedural effects,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-045,Effective degrees of freedom for Type B estimates,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-046,Avoiding double-counting between Type A and Type B,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A04,Type B Evaluation,CM-03-047,Documenting Type B judgements so they survive an audit,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-048,The law of propagation of uncertainty,knowledge,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-049,Sensitivity coefficients and their meaning,knowledge,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-050,Deriving partial derivatives analytically,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-051,Numerical estimation of sensitivity coefficients,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-052,Combined standard uncertainty,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-053,Correlated input quantities and covariance terms,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-054,Estimating correlation coefficients,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-055,Common-mode effects and shared reference standards,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-056,Higher-order terms and significant nonlinearity,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-057,"Propagation through products, quotients and powers",skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-058,Propagation through logarithmic and exponential relationships,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A05,Combining and Propagating Uncertainty,CM-03-059,Relative and absolute uncertainty and when each is appropriate,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A06,Expanded Uncertainty and Coverage Intervals,CM-03-060,Coverage factor and expanded uncertainty,knowledge,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A06,Expanded Uncertainty and Coverage Intervals,CM-03-061,Welch-Satterthwaite effective degrees of freedom,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A06,Expanded Uncertainty and Coverage Intervals,CM-03-062,Choosing a coverage factor: convention versus computation,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A06,Expanded Uncertainty and Coverage Intervals,CM-03-063,The k equals 2 convention and when it is wrong,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A06,Expanded Uncertainty and Coverage Intervals,CM-03-064,Coverage intervals for asymmetric distributions,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A06,Expanded Uncertainty and Coverage Intervals,CM-03-065,Coverage regions for multivariate measurands,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A06,Expanded Uncertainty and Coverage Intervals,CM-03-066,Rounding and significant figures in a reported uncertainty,skill,3,1 2 3,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-067,Propagation of distributions contrasted with propagation of uncertainty,knowledge,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-068,The Monte Carlo method for uncertainty evaluation,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-069,Assigning probability density functions to input quantities,judgment,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-070,"Sampling, convergence and adaptive procedures",skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-071,Deriving coverage intervals from a Monte Carlo distribution,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-072,Shortest versus probabilistically symmetric coverage intervals,judgment,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-073,Validating a GUM result against a Monte Carlo result,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-074,Multivariate Monte Carlo evaluation,skill,5,1 2 3 4 5,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-075,Random number generation quality and reproducibility,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A07,Monte Carlo and Distribution Propagation,CM-03-076,Software tools for Monte Carlo uncertainty evaluation,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A08,Uncertainty Budgets in Practice,CM-03-077,Structure and layout of an uncertainty budget,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A08,Uncertainty Budgets in Practice,CM-03-078,Building a budget: dimensional measurement,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A08,Uncertainty Budgets in Practice,CM-03-079,Building a budget: electrical measurement,skill,4,1 2 3 4,draft
CM-03,Measurement Uncertainty,core,CM-03-A08,Uncertainty Budgets in Practice,CM-03-080,Building a budget: temperature measurement,skill,4,1 2 3 4,draft
